代码,名称,交易所,板块,行业,地域板块,概念题材,最新价,涨跌幅,成交额,振幅,最高,昨收,最低,今开,量比,换手率
920284,灵鸽科技,北交所,北交所,专用设备,江苏板块,"锂电池概念,固态电池,电池技术",39.12,-4.59,322446017.45,9.9,41.98,41.0,37.92,41.5,1.23,12.28
920396,常辅股份,北交所,北交所,自动化设备,江苏板块,"核能核电,工业互联,可控核聚变",30.25,1.58,48701189.68,3.02,30.68,29.78,29.78,29.78,0.98,3.14
920509,同惠电子,北交所,北交所,通用设备,江苏板块,"华为概念,第三代半导体,华为海思",34.04,0.24,93429020.54,4.74,34.21,33.96,32.6,33.48,0.97,3.33
920570,坤博精工,北交所,北交所,通用设备,浙江板块,"光伏概念,风能,海工装备,半导体概念,工业母机,机器人概念,新型工业化",31.43,0.29,19356552.54,2.84,31.76,31.34,30.87,31.15,0.62,2.54
920592,华信永道,北交所,北交所,软件开发,北京板块,"国产软件,智慧政务,数字经济,信创,智谱AI概念",33.86,-0.41,76047712.94,4.24,34.3,34.0,32.86,34.0,0.72,4.52
920640,富士达,北交所,北交所,通信设备,陕西板块,"军工,西部大开发,央国企改革,量子科技,5G概念,华为概念,卫星互联网,商业航天,6G概念,毫米波概念,低空经济,铜缆高速连接,通信技术",37.93,-0.26,220604766.45,2.79,38.28,38.03,37.22,37.48,0.91,3.23
920693,阿为特,北交所,北交所,通用设备,上海板块,"医疗器械概念,半导体概念,液冷概念",31.9,-0.44,39620214.36,2.25,31.96,32.04,31.24,31.72,0.7,3.42
920725,惠丰钻石,北交所,北交所,通用设备,河南板块,"半导体概念,第三代半导体,培育钻石",34.92,3.87,233227135.59,7.91,35.66,33.62,33.0,33.0,2.16,16.11
920748,路桥信息,北交所,北交所,IT服务Ⅱ,福建板块,"物联网,云计算,智慧城市,大数据,央国企改革,人工智能,车联网(车路云),数字经济,多模态AI,低空经济,DeepSeek概念",36.08,3.23,56476624.66,7.73,37.0,34.95,34.3,34.64,1.71,4.39
920779,武汉蓝电,北交所,北交所,电池,湖北板块,"锂电池概念,国产软件,固态电池,电池技术",32.9,-0.99,30515747.89,3.07,33.39,33.23,32.37,32.92,0.96,4.65
920799,艾融软件,北交所,北交所,软件开发,上海板块,"互联网金融,国产软件,虚拟现实,人工智能,华为概念,数字货币,国产芯片,鸿蒙概念,华为欧拉,跨境支付,信创",36.73,-1.66,82742250.67,2.49,37.45,37.35,36.52,37.3,0.64,1.87
920839,万通液压,北交所,北交所,工程机械,山东板块,"军工,新能源车,机器人概念",32.95,1.17,21436418.35,2.61,33.05,32.57,32.2,32.47,0.64,1.01
920953,国子软件,北交所,北交所,IT服务Ⅱ,山东板块,"物联网,云计算,国产软件,人工智能,生物识别,数据安全,信创,AI应用",31.11,-0.92,45290444.12,2.42,31.7,31.4,30.94,31.67,0.61,2.42
920971,天马新材,北交所,北交所,非金属材料Ⅱ,河南板块,"新材料,锂电池概念,半导体概念,固态电池,高带宽内存,玻璃基板,电池技术",32.33,1.7,153403270.01,6.26,32.59,31.79,30.6,31.43,0.99,5.64
920976,视声智能,北交所,北交所,计算机设备,广东板块,"智慧城市,安防概念,智能家居",30.57,0.03,21083469.23,2.49,31.13,30.56,30.37,30.54,0.63,1.55
000021,深科技,深交所,深市主板,消费电子,广东板块,"深圳特区,物联网,智能电网,医疗器械概念,央国企改革,超级电容,无人机,区块链,国产芯片,新能源车,半导体概念,第三代半导体,储能概念,存储芯片,电网概念",34.61,7.12,5575765447.17,11.17,34.99,32.31,31.38,31.49,1.39,10.57
000062,深圳华强,深交所,深市主板,其他电子Ⅱ,广东板块,"创投,深圳特区,互联网金融,电商概念,华为概念,MLCC,新能源车,半导体概念,第三代半导体,华为昇腾,华为海思",36.8,-1.58,3042793627.86,5.32,36.8,37.39,34.81,35.88,0.8,8.12
000063,中兴通讯,深交所,深市主板,通信设备,广东板块,"深圳特区,物联网,云计算,智慧城市,智能穿戴,网络安全,在线教育,量子科技,5G概念,人工智能,工业互联,超清视频,边缘计算,国产芯片,无线耳机,IPv6,卫星互联网,数据中心,屏下摄像,无线充电,6G概念,信创,算力概念,液冷概念,AI手机,低空经济,消费电子概念,通信技术,光纤概念",38.83,1.94,4674427091.92,3.15,38.9,38.09,37.7,37.85,0.77,3.02
000338,潍柴动力,深交所,深市主板,汽车零部件,山东板块,"节能环保,燃料电池概念,央国企改革,一带一路,无人驾驶,氢能源,新能源车,数据中心,固态电池,电池技术",34.34,5.02,4686018541.37,8.35,34.49,32.7,31.76,32.01,1.04,2.79
000513,丽珠集团,深交所,深市主板,化学制药,广东板块,"生物疫苗,中药概念,基因测序,精准医疗,单抗概念,流感,辅助生殖,幽门螺杆菌概念,重组蛋白,创新药,减肥药,病原体防治",31.81,-0.84,201078377.17,1.31,32.15,32.08,31.73,31.98,0.85,1.11
000526,学大教育,深交所,深市主板,教育,福建板块,"在线教育,人工智能,半导体概念,职业教育",35.35,2.02,106874195.0,3.72,35.97,34.65,34.68,34.74,1.1,2.52
000603,盛达资源,深交所,深市主板,贵金属,北京板块,黄金概念,38.79,-0.79,836914878.28,3.99,40.15,39.1,38.59,40.0,0.71,3.21
000762,西藏矿业,深交所,深市主板,能源金属,西藏板块,"稀缺资源,新材料,锂电池概念,西部大开发,央国企改革,小金属概念,锂矿概念,电池技术",35.34,-1.7,1172328098.12,3.34,36.27,35.95,35.07,35.74,0.59,6.34
000792,盐湖股份,深交所,深市主板,农化制品,青海板块,"化工原料,稀缺资源,锂电池概念,西部大开发,央国企改革,新能源车,锂矿概念,电池技术",36.69,-0.97,4188967493.52,3.24,37.67,37.05,36.47,37.15,0.83,2.15
000807,云铝股份,深交所,深市主板,工业金属,云南板块,"节能环保,稀缺资源,西部大开发,燃料电池概念,央国企改革,新能源车,电池技术",31.83,2.15,2152229835.4,2.18,31.9,31.16,31.22,31.63,1.05,1.96
000811,冰轮环境,深交所,深市主板,通用设备,山东板块,"节能环保,创投,核能核电,地热能,海洋经济,燃料电池概念,央国企改革,体育产业,冷链物流,氢能源,数据中心,氦气概念,碳交易,东数西算,中俄贸易概念,空气能热泵,熔盐储能,液冷概念,可控核聚变,冰雪经济,雅下水电概念,电池技术",31.8,10.0,1940045752.69,14.67,31.8,28.91,27.56,28.43,1.46,6.75
000880,潍柴重机,深交所,深市主板,汽车零部件,山东板块,"海工装备,央国企改革,数据中心,发电机概念",32.03,9.99,1117166417.19,8.69,32.03,29.12,29.5,30.0,1.78,15.71
000933,神火股份,深交所,深市主板,工业金属,河南板块,"煤化工概念,稀缺资源,央国企改革,钠离子电池",31.9,1.24,1412698709.88,2.32,32.2,31.51,31.47,31.5,0.91,1.98
000935,四川双马,深交所,深市主板,多元金融,四川板块,"创投,成渝特区,西部大开发,独角兽,医美概念,减肥药",33.83,9.02,968705600.57,13.05,34.13,31.03,30.08,30.51,3.09,3.82
000938,紫光股份,深交所,深市主板,IT服务Ⅱ,北京板块,"互联网服务,创投,物联网,云计算,大数据,网络安全,安防概念,5G概念,人工智能,区块链,国产芯片,IPv6,WiFi,车联网(车路云),数字经济,东数西算,CPO概念,算力概念,液冷概念,英伟达概念,DeepSeek概念,通信技术",32.91,7.23,7568339934.67,9.16,33.16,30.69,30.35,30.6,0.99,8.3
000963,华东医药,深交所,深市主板,化学制药,浙江板块,"长江三角,中药概念,医疗器械概念,人工智能,冷链物流,单抗概念,医美概念,创新药,减肥药,合成生物,新消费",33.27,-0.86,360194460.97,1.16,33.59,33.56,33.2,33.59,0.76,0.62
001220,世盟股份,深交所,深市主板,物流,北京板块,"次新股,京津冀",39.07,0.05,33407634.54,0.92,39.18,39.05,38.82,39.07,0.47,3.79
001228,永泰运,深交所,深市主板,物流,浙江板块,统一大市场,30.62,0.62,51428187.76,2.89,30.9,30.43,30.02,30.42,0.82,2.11
001229,魅视科技,深交所,深市主板,计算机设备,广东板块,"智慧城市,人工智能,商业航天,信创,AI应用",36.8,0.14,80042379.5,6.04,37.87,36.75,35.65,36.77,1.11,4.15
001255,博菲电气,深交所,深市主板,塑料,浙江板块,"军工,节能环保,化工原料,新材料,核能核电,光伏概念,铁路基建,长江三角,风能,水利建设,新能源车,有机硅概念,磁悬浮概念,IGBT概念,BC电池",35.58,1.14,41067369.0,4.24,36.07,35.18,34.58,35.14,0.67,1.63
001277,速达股份,深交所,深市主板,专用设备,河南板块,微盘股,37.31,-0.08,28521431.5,1.53,37.58,37.34,37.01,37.34,0.64,1.68
001279,强邦新材,深交所,深市主板,包装印刷,安徽板块,造纸印刷,33.32,0.3,61724915.42,2.17,33.64,33.22,32.92,33.0,0.67,4.63
001287,中电港,深交所,深市主板,其他电子Ⅱ,广东板块,"央国企改革,国产软件,人工智能,小米概念,边缘计算,国产芯片,跨境电商,存储芯片,英伟达概念,华为海思,DeepSeek概念",30.14,4.15,1939992371.78,9.09,30.51,28.94,27.88,28.25,0.94,8.65
001311,多利科技,深交所,深市主板,汽车零部件,安徽板块,"特斯拉概念,新能源车,汽车一体化压铸",30.38,1.74,140792023.34,3.65,30.57,29.86,29.48,30.02,0.98,3.43
001328,登康口腔,深交所,深市主板,个护用品,重庆板块,"西部大开发,医疗器械概念,央国企改革,超级品牌,零售概念",31.56,-0.75,33321050.0,1.89,32.06,31.8,31.46,32.06,0.79,0.65
001336,楚环科技,深交所,深市主板,环保设备Ⅱ,浙江板块,"垃圾分类,微盘股",30.44,1.57,72062598.0,2.8,30.78,29.97,29.94,29.97,0.67,4.81
001388,信通电子,深交所,深市主板,电网设备,山东板块,"次新股,物联网,智能电网,国产软件,一带一路,5G概念,人工智能,工业互联,华为概念,边缘计算,WiFi,特高压,机器视觉,激光雷达,中俄贸易概念,电子身份证,机器人概念,算力概念,新型工业化,多模态AI,电网概念,通信技术",39.7,1.61,82595377.59,3.38,39.98,39.07,38.66,38.92,1.54,6.69
001395,亚联机械,深交所,深市主板,专用设备,吉林板块,,38.8,-0.44,25252960.84,1.31,39.19,38.97,38.68,39.02,0.7,1.39
002001,新 和 成,深交所,深市主板,化学制品,浙江板块,"创投,化工原料,新材料,青蒿素,维生素",32.92,-1.73,1099587354.23,3.07,33.63,33.5,32.6,33.2,0.68,1.1
002074,国轩高科,深交所,深市主板,电池,安徽板块,"新能源,锂电池概念,智能电网,长江三角,风能,充电桩,华为概念,新能源车,数据中心,固态电池,换电概念,储能概念,动力电池回收,飞行汽车(eVTOL),低空经济,电网概念,电池技术",37.39,1.94,2107308177.35,5.83,38.38,36.68,36.24,36.66,1.16,3.27
002128,电投能源,深交所,深市主板,煤炭开采,内蒙古,"稀缺资源,光伏概念,西部大开发,风能,央国企改革,并购重组概念",31.63,-0.22,528561214.27,3.03,32.39,31.7,31.43,31.55,0.89,0.74
002134,天津普林,深交所,深市主板,元件,天津板块,"滨海新区,大飞机,PCB",30.33,1.78,633815107.4,9.13,32.23,29.8,29.51,29.8,1.21,8.37
002138,顺络电子,深交所,深市主板,元件,广东板块,"深圳特区,物联网,移动支付,燃料电池概念,无人机,5G概念,小米概念,华为概念,传感器,无线充电,被动元件概念,消费电子概念,电池技术,通信技术",38.18,2.63,1472391856.88,4.84,38.52,37.2,36.72,36.92,1.07,5.12
002142,宁波银行,深交所,深市主板,银行Ⅱ,浙江板块,互联网金融,32.05,0.44,683016732.18,1.41,32.35,31.91,31.9,31.91,0.84,0.32
002158,汉钟精机,深交所,深市主板,通用设备,上海板块,"节能环保,光伏概念,长江三角,地热能,燃料电池概念,工业互联,冷链物流,氢能源,新能源车,半导体概念,数据中心,空气能热泵,电池技术",33.55,2.63,565549552.07,8.05,33.98,32.69,31.35,31.94,0.66,3.21
002190,成飞集成,深交所,深市主板,汽车零部件,四川板块,"军工,锂电池概念,西部大开发,央国企改革,无人机,大飞机,新能源车,华为汽车,电池技术",33.85,1.96,1103908016.76,10.9,36.38,33.2,32.76,33.12,4.49,8.95
002261,拓维信息,深交所,深市主板,软件开发,湖南板块,"网络游戏,云计算,大数据,在线教育,阿里概念,人工智能,工业互联,独角兽,华为概念,边缘计算,智慧政务,车联网(车路云),鸿蒙概念,华为昇腾,华为欧拉,东数西算,机器人概念,信创,液冷概念,DeepSeek概念",35.23,3.59,3754398070.29,6.12,35.5,34.01,33.42,33.7,0.85,9.44
002273,水晶光电,深交所,深市主板,光学光电子,浙江板块,"光伏概念,长江三角,智能穿戴,苹果概念,安防概念,蓝宝石,虚拟现实,增强现实,无人驾驶,小米概念,独角兽,超清视频,3D摄像头,生物识别,激光雷达,元宇宙概念,AI手机,荣耀概念,AI眼镜,人形机器人,消费电子概念,显示技术",39.38,3.66,3078735974.51,6.53,39.58,37.99,37.1,37.96,0.91,5.85
002294,信立泰,深交所,深市主板,化学制药,广东板块,"深圳特区,参股保险,医疗器械概念,单抗概念,创新药,减肥药",37.65,-2.96,1996453460.91,4.12,39.1,38.8,37.5,38.8,2.07,4.72
002315,焦点科技,深交所,深市主板,互联网电商,江苏板块,"互联网服务,创投,长江三角,互联网金融,在线教育,电商概念,人工智能,AI智能体,信创,AIGC概念,跨境电商,ERP概念,AI应用",31.75,0.92,207965506.26,1.97,31.88,31.46,31.26,31.48,0.58,2.5
002352,顺丰控股,深交所,深市主板,物流,广东板块,"深圳特区,云计算,大数据,无人机,人工智能,军民融合,区块链,冷链物流,车联网(车路云),快递概念,REITs概念,跨境电商,低空经济",36.66,-0.81,1027254742.23,1.76,36.99,36.96,36.34,36.96,1.05,0.59
002378,章源钨业,深交所,深市主板,小金属,江西板块,"稀缺资源,小金属概念",33.83,5.36,3031677390.69,8.22,34.45,32.11,31.81,31.9,1.05,7.55
002380,科远智慧,深交所,深市主板,IT服务Ⅱ,江苏板块,"互联网服务,长江三角,智慧城市,国产软件,人工智能,工业互联,华为概念,边缘计算,垃圾分类,虚拟电厂,超超临界发电,机器人概念,信创,新型工业化,AI应用",36.13,2.35,317589331.61,6.37,36.4,35.3,34.15,34.86,0.87,6.28
002396,星网锐捷,深交所,深市主板,通信设备,福建板块,"物联网,移动支付,网络安全,在线教育,智能家居,央国企改革,人脑工程,5G概念,人工智能,华为概念,数字货币,IPv6,WiFi,车联网(车路云),数据中心,元宇宙概念,数字经济,F5G概念,信创,CPO概念,光通信模块,通信技术",31.88,-0.69,1361639633.6,3.49,32.4,32.1,31.28,31.84,0.95,7.36
002402,和而泰,深交所,深市主板,家电零部件Ⅱ,广东板块,"军工,深圳特区,物联网,大数据,智能穿戴,智能家居,一带一路,5G概念,人工智能,小米概念,国产芯片,氮化镓,半导体概念,卫星互联网,第三代半导体,商业航天,储能概念,汽车热管理,机器人概念,毫米波概念,小米汽车,华为海思,DeepSeek概念,消费电子概念,通信技术",33.02,0.86,1172209012.72,2.87,33.05,32.74,32.11,32.5,0.82,4.38
002407,多氟多,深交所,深市主板,化学制品,河南板块,"创投,化工原料,新材料,锂电池概念,特斯拉概念,氟化工概念,独角兽,新能源车,半导体概念,固态电池,钠离子电池,储能概念,PVDF概念,电池技术",34.24,-0.23,2836958625.26,2.04,34.58,34.32,33.88,34.32,0.54,7.7
002415,海康威视,深交所,深市主板,计算机设备,浙江板块,"物联网,云计算,长江三角,智慧城市,大数据,安防概念,央国企改革,无人机,虚拟现实,人工智能,无人驾驶,超清视频,边缘计算,车联网(车路云),生物识别,机器人概念,存储芯片,AI应用,光纤概念",34.49,-0.2,2469167517.89,2.6,34.69,34.56,33.79,34.5,0.93,0.8
002422,科伦药业,深交所,深市主板,化学制药,四川板块,"西部大开发,流感,幽门螺杆菌概念,肝炎概念,创新药,合成生物",32.36,-3.4,603040372.77,4.6,33.37,33.5,31.83,33.3,1.27,1.43
002430,杭氧股份,深交所,深市主板,化学制品,浙江板块,"煤化工概念,央国企改革,一带一路,天然气,氢能源,半导体概念,氦气概念,商业航天,工业气体,可控核聚变,油气资源",30.2,2.72,778643271.04,5.07,30.37,29.4,28.88,29.41,0.89,2.69
002436,兴森科技,深交所,深市主板,元件,广东板块,"军工,深圳特区,互联网金融,5G概念,军民融合,华为概念,PCB,国产芯片,半导体概念,卫星互联网,机器人概念,光通信模块,高带宽内存,低空经济,通信技术",34.19,2.21,5211811126.83,6.79,34.5,33.45,32.23,32.6,0.94,10.18
002444,巨星科技,深交所,深市主板,通用设备,浙江板块,"参股银行,电商概念,智能家居,IPO受益,人工智能,无人驾驶,贬值受益,储能概念,激光雷达,机器人概念,跨境电商",35.85,1.44,491233471.04,2.86,36.05,35.34,35.04,35.68,0.85,1.21
002552,宝鼎科技,深交所,深市主板,元件,浙江板块,"黄金概念,央国企改革,一带一路,PCB",34.81,4.03,1924841966.98,10.19,36.69,33.46,33.28,33.3,2.04,14.85
002558,巨人网络,深交所,深市主板,游戏Ⅱ,重庆板块,"创投,网络游戏,西部大开发,参股保险,互联网金融,虚拟现实,人工智能,百度概念,电子竞技,华为概念,蚂蚁概念,鸿蒙概念,元宇宙概念,AIGC概念,AI应用,文娱消费",32.38,2.37,2056604637.54,6.32,32.8,31.63,30.8,31.58,0.91,3.4
002580,圣阳股份,深交所,深市主板,电池,山东板块,"新能源,创投,锂电池概念,光伏概念,央国企改革,雄安新区,数据中心,鸿蒙概念,固态电池,钠离子电池,储能概念,液冷概念,电池技术",34.8,1.84,4056970582.19,12.17,35.05,34.17,30.89,33.2,0.95,26.78
002655,共达电声,深交所,深市主板,消费电子,山东板块,"智能穿戴,苹果概念,智能家居,无人机,小米概念,独角兽,华为概念,电子烟,国产芯片,无线耳机,传感器,半导体概念,生物识别,元宇宙概念,消费电子概念",36.68,5.19,2430380621.5,12.99,37.95,34.87,33.42,34.51,1.16,18.42
002730,电光科技,深交所,深市主板,专用设备,浙江板块,"物联网,人工智能,鸿蒙概念,算力概念",34.8,7.67,1054794786.49,10.86,35.51,32.32,32.0,32.31,0.92,8.91
002757,南兴股份,深交所,深市主板,专用设备,广东板块,"云计算,网络安全,AI智能体,华为概念,VPN,数据中心,工业母机,东数西算,中俄贸易概念,算力概念",32.24,4.27,855140576.65,7.63,32.4,30.92,30.04,30.45,0.47,9.56
002759,天际股份,深交所,深市主板,电池,广东板块,"锂电池概念,氟化工概念,钠离子电池,磷化工,电池技术",37.28,-0.75,1692777978.36,4.34,38.28,37.56,36.65,37.2,0.59,9.08
002801,微光股份,深交所,深市主板,电机Ⅱ,浙江板块,"锂电池概念,一带一路,冷链物流,新能源车,机器人概念,人形机器人,电池技术",33.0,0.43,53698618.05,1.89,33.17,32.86,32.55,32.86,0.63,1.41
002827,高争民爆,深交所,深市主板,化学制品,西藏板块,"西部大开发,央国企改革,民爆概念,雅下水电概念",32.73,-0.7,134634871.28,2.12,33.14,32.96,32.44,32.62,0.62,1.49
002838,道恩股份,深交所,深市主板,塑料,山东板块,"新材料,特斯拉概念,5G概念,小米概念,降解塑料,通信技术",37.81,3.53,392313655.44,5.59,38.19,36.52,36.15,36.16,0.89,2.48
002841,视源股份,深交所,深市主板,消费电子,广东板块,"智能穿戴,在线教育,智能家居,人工智能,小米概念,超清视频,机器人概念,DeepSeek概念,AI应用,消费电子概念,显示技术",39.71,1.28,231686082.53,2.75,39.98,39.21,38.9,39.0,0.95,1.12
002842,翔鹭钨业,深交所,深市主板,小金属,广东板块,小金属概念,39.91,10.01,1514623486.34,10.75,39.91,36.28,36.01,36.02,0.7,14.64
002864,盘龙药业,深交所,深市主板,中药Ⅱ,陕西板块,"西部大开发,中药概念,养老概念,电商概念,独家药品,流感,肝炎概念,创新药,特色药,病原体防治",31.61,2.96,129793457.74,2.54,32.05,30.7,31.27,31.31,1.4,5.58
002891,中宠股份,深交所,深市主板,饲料,山东板块,"电商概念,阿里概念,宠物经济,新消费",31.83,0.22,218750206.3,2.27,32.09,31.76,31.37,31.73,0.79,2.14
002895,川恒股份,深交所,深市主板,农化制品,贵州板块,"西部大开发,磷化工",35.11,-2.47,388915209.67,4.72,36.3,36.0,34.6,36.04,1.04,1.86
002899,英派斯,深交所,深市主板,文娱用品,山东板块,"体育产业,冰雪经济",31.75,-3.08,155821974.1,4.46,33.0,32.76,31.54,32.38,1.02,3.28
002902,铭普光磁,深交所,深市主板,通信设备,广东板块,"光伏概念,智能穿戴,电商概念,充电桩,5G概念,华为概念,国产芯片,新能源车,氮化镓,半导体概念,数据中心,第三代半导体,储能概念,F5G概念,跨境电商,CPO概念,算力概念,光通信模块,消费电子概念,通信技术",39.95,7.45,2414301827.05,11.89,40.9,37.18,36.48,36.88,1.3,34.6
002906,华阳集团,深交所,深市主板,汽车零部件,广东板块,"创投,无人驾驶,百度概念,华为概念,胎压监测,车联网(车路云),无线充电,华为汽车,汽车热管理,汽车一体化压铸,电子后视镜,光通信模块,小米汽车,飞行汽车(eVTOL),英伟达概念,人形机器人",31.54,0.41,231385179.23,3.37,31.72,31.41,30.66,31.18,0.89,1.41
002921,联诚精密,深交所,深市主板,汽车零部件,山东板块,"燃料电池概念,氢能源,机器人概念,减速器,机器人执行器,电池技术",30.13,-5.28,383022905.12,7.07,31.83,31.81,29.58,31.67,1.36,9.78
002933,新兴装备,深交所,深市主板,航空装备Ⅱ,北京板块,"航天航空,军工,央国企改革,无人机,军民融合,机器人概念,机器人执行器,低空经济,人形机器人",31.24,1.17,47174085.42,1.85,31.47,30.88,30.9,31.0,0.69,1.3
002937,兴瑞科技,深交所,深市主板,汽车零部件,浙江板块,"物联网,特斯拉概念,智能家居,一带一路,5G概念,虚拟现实,无人驾驶,超清视频,新能源车,传感器,WiFi,液冷概念,通信技术",33.96,1.37,464818483.89,5.76,34.87,33.5,32.94,33.34,1.25,4.64
002940,昂利康,深交所,深市主板,化学制药,浙江板块,"宠物经济,创新药,合成生物",36.43,9.99,899722480.4,9.42,36.43,33.12,33.31,33.82,1.47,13.87
002956,西麦食品,深交所,深市主板,休闲食品,广西板块,西部大开发,30.61,0.36,103081821.0,2.39,30.98,30.5,30.25,30.5,0.59,1.51
002965,祥鑫科技,深交所,深市主板,汽车零部件,广东板块,"创投,光伏概念,特斯拉概念,充电桩,5G概念,无人驾驶,华为概念,新能源车,数据中心,固态电池,华为汽车,储能概念,机器视觉,汽车热管理,机器人概念,汽车一体化压铸,液冷概念,小米汽车,飞行汽车(eVTOL),低空经济,人形机器人,电池技术,通信技术",35.55,0.74,386173512.27,2.38,35.72,35.29,34.88,35.14,0.81,5.73
002971,和远气体,深交所,深市主板,化学制品,湖北板块,"节能环保,化工原料,燃料电池概念,天然气,氢能源,新能源车,湖北自贸,尾气治理,氦气概念,工业气体,电池技术,油气资源",34.05,2.81,421434483.1,6.31,34.89,33.12,32.8,33.22,1.25,7.95
002976,瑞玛精密,深交所,深市主板,汽车零部件,江苏板块,"锂电池概念,特斯拉概念,一带一路,5G概念,无人驾驶,新能源车,华为汽车,电池技术,通信技术",33.06,0.43,90434459.0,4.5,33.79,32.92,32.31,32.9,0.71,4.1
002977,*ST天箭,深交所,深市主板,军工电子Ⅱ,四川板块,"军工,西部大开发,氮化镓,第三代半导体,商业航天",30.83,2.32,83567553.2,4.65,31.2,30.13,29.8,29.89,0.84,4.09
002978,安宁股份,深交所,深市主板,小金属,四川板块,"参股银行,西部大开发,钛白粉概念,钒电池,电池技术",32.0,2.11,174277515.62,2.36,32.08,31.34,31.34,31.5,1.32,1.49
002985,北摩高科,深交所,深市主板,航空装备Ⅱ,北京板块,"航天航空,军工,铁路基建,通用航空,无人机,军民融合,大飞机,国产芯片,商业航天,低空经济",35.34,1.55,250525249.48,4.45,35.76,34.8,34.21,34.69,0.72,2.16
002988,豪美新材,深交所,深市主板,工业金属,广东板块,"新材料,新能源车,华为汽车,建筑节能",33.01,0.03,174262086.96,3.61,33.88,33.0,32.69,33.22,0.94,2.1
002989,中天精装,深交所,深市主板,装修装饰Ⅱ,广东板块,"深圳特区,央国企改革",32.71,3.48,635695373.05,12.27,34.77,31.61,30.89,31.35,1.43,10.44
002997,瑞鹄模具,深交所,深市主板,汽车零部件,安徽板块,"新能源车,机器人概念,汽车一体化压铸,小米汽车",35.16,1.24,302412293.05,4.29,35.57,34.73,34.08,34.6,0.91,4.13
003017,大洋生物,深交所,深市主板,化学原料,浙江板块,"氟化工概念,一带一路,半导体概念,中俄贸易概念,PEEK材料概念,微盘股,合成生物",31.63,-0.78,114927550.2,1.54,31.97,31.88,31.48,31.85,1.05,5.24
003019,宸展光电,深交所,深市主板,光学光电子,福建板块,"物联网,智慧城市,人工智能,贬值受益,新能源车,车联网(车路云),信创",35.0,2.49,194763997.03,4.45,35.53,34.15,34.01,34.3,1.02,3.25
003023,彩虹集团,深交所,深市主板,小家电,四川板块,"西部大开发,婴童概念,电商概念,医疗器械概念,宠物经济",30.72,-4.27,122548402.8,5.55,32.28,32.09,30.5,32.09,0.68,3.76
